company_name,category,website,uses_ai_to,allows_researchers_to,founded,headquarters,city,state,country,latitude,longitude,count
3BIGS,Aggregate and synthesize information,http://3bigs.com,"Discover relationships between diseases, targets, and drugs",Repurpose drugs for new indications,2017,"Suwon, Ch'ungch'ong-namdo, South Korea",Suwon, Ch'ungch'ong-namdo, South Korea,37.2633325,127.0287472,1
Amplion,Aggregate and synthesize information,https://www.amplion.com,Synthesize biomedical knowledge and biomarker expertise to guide biomarker strategic planning,"Ensure an effective mix of biomarkers, establish differentiation, recruit the right patients, and identify the best companion diagnostic opportunities",2013,"Bend, Oregon, United States",Bend, Oregon, United States,44.0581728,-121.3153096,1
BioSymetrics,Aggregate and synthesize information,http://www.biosymetrics.com,"Process raw phenotypic, imaging, drug, and genomic data sets","Integrate rapid analytics and machine learning capabilities into existing business processes to improve care, enhance discoveries, gain insight into business, and enable fast data-driven decisions",2015,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
OneThree Biotech,Aggregate and synthesize information,https://onethree.bio/,"Integrate and analyze data from over 30 types of chemical, biological, and clinical data","Generate new insights across the drug development pipeline, including for target and mechanism of action discovery",2018,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Owkin,Aggregate and synthesize information,http://www.owkin.com,"Build intelligence from distributed datasets, including through privacy-safe transfer and federated learning","Overcome the problem of data-sharing in healthcare to automate diagnostics, predict treatment outcomes, and optimize clinical trials",2016,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Evoke Neuroscience,Establish biomarkers,http://www.evokeneuroscience.com/,Identify unique neural signatures of Alzheimer’s disease in electroencephalography data,"Monitor response to Alzheimer's disease treatments, including in clinical trials",2009,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Paige,Establish biomarkers,https://www.paige.ai,Analyze pathology slides with models that incorporate diagnoses by the world's foremost cancer experts,Accelerate cancer biomarker discovery and get new disease insights from decades of pathology data,2018,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
TARA Biosystems,Generate data and models,http://tarabiosystems.com/,Generate models from data on mature cardiac tissue engineered from induced-pluripotent stem cells,Predict the physiological effects of different drugs for heart conditions,2014,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
A2A Pharmaceuticals,Generate novel drug candidates,http://www.a2apharma.com/,Iterate small molecules to find candidates with optimal properties for a target,"Design novel treatments for diseases including cancer, bacterial infection, and muscular dystrophy",2016,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Envisagenics,Generate novel drug candidates,http://envisagenics.com/,Analyze RNA data from patients to identify new biomarkers and drug targets,Accelerate discovery of RNA therapeutics,2014,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Lodo Therapeutics,Generate novel drug candidates,http://lodotherapeutics.com,Find undiscovered molecules encoded in environmental microbial DNA,Address undruggable targets with structurally diverse molecules that have drug-like properties,2016,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Schrödinger,Design drugs,http://www.schrodinger.com,"Ideate, optimize, and analyze drug candidates",Evaluate chemical compounds in silico ahead of synthesis and assay,1990,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Intelligencia,Design clinical trials,http://www.intelligencia.ai,"Estimate the risk of clinical trials, and interpret the multitude of factors that contribute to that risk",De-risk drug development at the clinical trial stage,2017,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Massive Bio,Recruit for clinical trials,https://massivebio.com/,Match cancer patients with active clinical trials,Facilitate oncology clinical trial enrollment,2014,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
AiCure,Optimize clinical trials,http://www.aicure.com,Visually confirm medication ingestion via smartphone,Improve medication adherence in clinical trials,2009,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Aetion,Analyze real world evidence,https://www.aetion.com/,Analyze medical and pharmacy claims data,Understand which treatments work best for which patients at what times,2013,"New York, New York, United States",New York, New York, United States,40.7127281,-74.0060152,14
Biorelate,Aggregate and synthesize information,http://biorelate.com/,Create curated databases from the analysis of published scientific literature,Extract structured biological knowledge to power drug discovery applications,2014,"Oldham, Oldham, United Kingdom",Oldham, Oldham, United Kingdom,53.54304485,-2.12063616589222,1
Causaly,Aggregate and synthesize information,https://www.causaly.com,Read scientific articles and extract causal associations,Search for cause and effect relationships and gather evidence on how biomedical entities interact,2017,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Sparrho,Aggregate and synthesize information,https://www.sparrho.com/,"Curate, in combination with human expertise, millions of scientific papers from thousands of publications",Stay up-to-date with new scientific publications and patents,2012,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Shivom,Understand mechanisms of disease,https://shivom.io,Uncover novel insights in genetic and other biological data,Gain access to and analyze secure DNA data while incentivising and protecting patient confidentiality,2018,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
BenevolentAI,Generate novel drug candidates,http://benevolent.ai,"Ingest scientific research data sets, then form and qualify hypotheses and generate novel insights",Identify novel drug candidates (via life science-focused subsidiary BenevolentBio),2013,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Cotinga Pharmaceuticals,Generate novel drug candidates,http://cotingapharma.com/,Predict biological activity from molecular structures,Intervene in pathways that cancer cells use to escape cell death,1999,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
GTN,Generate novel drug candidates,http://gtn.ai/,"Simulate, filter, and search for molecules with ""Generative Tensorial Networks.",Discover molecules otherwise hidden from view,2017,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
LabGenius,Generate novel drug candidates,http://www.labgeni.us,"Provide the brains for EVA, a smart robotic platform that can design, conduct, and learn from its own experiments","Develop next-generation protein therapeutics, including by optimizing multiple drug properties simultaneously",2012,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Acellera,Validate and optimize drug candidates,https://www.acellera.com,Predict protein-ligand binding,"Select better drug candidates, exclude toxic or reactive molecules, and improve ADMET profiles",2006,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Peptone,Design drugs,https://peptone.io,Predict protein features and characteristics,"Reduce complexity in protein design, detect production and characterisation issues, and discover novel protein features",2016,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Desktop Genetics,Design preclinical experiments,http://www.desktopgenetics.com,Determine biological variables influencing CRISPR guide design,Improve activity and reduce experimental bias in the selection of guides for CRISPR libraries,2012,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Synthace,Run preclinical experiments,http://synthace.com,"Build models to understand complex biological systems within Antha, its language and software platform for biology experiments","Optimize, reproduce, automate, and scale experiment workflows",2011,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Antidote.me,Recruit for clinical trials,//www.antidote.me,Make sense of unorganized and unstructured data about clinical trials,Enrol more patients in appropriate trials,2010,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Clinithink,Recruit for clinical trials,//www.clinithink.com,Transform unstructured clinical notes into rich structured data,Increase the speed of screening eligible subjects for clinical trials against trial-specific inclusion and exclusion criteria,2009,"London, England, United Kingdom",London, England, United Kingdom,51.5073219,-0.1276474,13
Data2Discovery,Aggregate and synthesize information,https://www.d2discovery.com/,"Find hidden connections and new insights in diverse, linked datasets",Understand and treat disease by connecting data in new ways,2012,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
OccamzRazor,Understand mechanisms of disease,http://www.occamzrazor.com,Transform all available data about Parkinson's disease into machine-readable graphs,"Have a complete map of Parkinson's disease—the ""Human Parkinsome""—and use it to better understand how the disease works, identify biomarkers, develop new targets, and evaluate treatments",2015,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Biotrillion,Establish biomarkers,https://www.biotrillion.com,"Analyze data from nontraditional sensors such as smartphones, wearables, internet of things devices, and virtual assistants to measure disease development and response to drugs",Leverage data from nontraditional sensors for digitally enabled clinical trials,2017,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Atomwise,Generate novel drug candidates,http://www.atomwise.com/,Predict drug candidates by leveraging a convolutional neural network trained on a huge amount of organic chemistry data,Generate novel drug candidates faster (with a number of candidates already in development with partners),2012,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
BlackThorn Therapeutics,Generate novel drug candidates,http://www.blackthornrx.com/,Generate novel insights into neurobehavioral health from prorietary data sources including brain imaging and functional assessment tools,Develop new drugs targeting receptors in dysregulated brain circuits,2015,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Datavant,Generate novel drug candidates,https://datavant.com/,Integrate clinical trial data with real-world evidence and public datasets to eliminate silos of health information,"Reduce the cost of drug development, and improve the time-to-market and likelihood of success for new drugs",2017,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Engine Biosciences,Generate novel drug candidates,http://www.enginebio.com,"Uncover gene interactions and biological networks underlying diseases, and test therapies that target them",Make analyses and predictions for precision medicine applications,2014,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
Fountain Therapeutics,Generate novel drug candidates,http://fountaintx.com/,Analyze data from a cellular model that recreates complex hallmark features of aging,Identify novel targets and potential therapeutics to extend healthy lifespan,2018,"San Francisco, California, United States",San Francisco, California, United States,37.7790262,-122.4199061,19
